Name,Title,Division
"Cuomo, Andrew",Governor,
"Benton, Stephanie",Director of Governor's Offices,
"Goodman, Tracy",Executive Assistant,
"VanAppledoorn, Carrie",Executive Assistant,
"DeRosa, Melissa",Secretary to the Governor,OFFICE OF THE SECRETARY
"Cotton, Richard",Special Counselor for Interagency Initiatives,OFFICE OF THE SECRETARY
"O'Brien, Christopher","Director, Special Projects",OFFICE OF THE SECRETARY
"Utter, Derek",Director of Finance and Restructuring,OFFICE OF THE SECRETARY
"Tagliafierro, Letizia",Special Counsel for Public Safety,OFFICE OF THE SECRETARY
"Cummings, Kelly",Deputy Chief of Staff/Senior Advisor to the Governor,OFFICE OF THE SECRETARY
"Bittleman, Sarah",Deputy Director of Special Projects,OFFICE OF THE SECRETARY
"Capel, Rodney",Special Advisor to the Governor,OFFICE OF THE SECRETARY
"Rodriguez, Rose",Chief Diversity Officer,OFFICE OF THE SECRETARY
"Amer, Dina",Excelsior Fellow,OFFICE OF THE SECRETARY
"Sherwin, Katie",Director of Cabinet Affairs,OFFICE OF THE SECRETARY
"Boshek, Suzanne",Senior Executive Assistant,OFFICE OF THE SECRETARY
"Kenney, Daniel",Special Assistant to the Secretary,OFFICE OF THE SECRETARY
"Zurowski, Genevieve",Special Assistant,OFFICE OF THE SECRETARY
"Thorne, Emilie",Special Assistant,OFFICE OF THE SECRETARY
"Rubin, Jamie",Director of State Operations,STATE OPERATION3
"Dineen, Kathryn",Chief of Staff to the Director of State Operations,STATE OPERATION3
"Perrin, Michael",Deputy Director of State Operations,STATE OPERATION3
"Tobe, Richard",Director of Upstate Revitalization,STATE OPERATION3
"Battaglia, Augustus",Special Assistant to the Director of State Operations,STATE OPERATION3
"Vizvary, Chelsea",Executive Assistant,STATE OPERATION3
"Steele, Janesse",Executive Assistant,STATE OPERATION3
"Laporta, Michelle",Executive Assistant,STATE OPERATION3
"Phibbs, Deborah",Executive Assistant,STATE OPERATION3
"Muller, Chelsea",Senior Program Manager,STATE OPERATION3
"Ramos, Norma",Deputy Secretary for Civil Rights,STATE OPERATION3
"Nelson, Marta",Exec. Dir. Council on Community Re-entry &Reintegration,STATE OPERATION3
"Whitin, Sophie",Program Associate,STATE OPERATION3
"Schmidt, Michael",Deputy Secretary for Economic Development,STATE OPERATION3
"Hughes, Brendan",Asst Secretary for Economic Development,STATE OPERATION3
"Harrington, Cheryl",Executive Assistant,STATE OPERATION3
"Hochman, Jere",Deputy Secretary for Education,STATE OPERATION3
"Fuller, Daniel",Assistant Secretary for Education,STATE OPERATION3
"Frank, Jamie",Assistant Secretary for Education,STATE OPERATION3
"Therasse, Paola",Program Associate,STATE OPERATION3
"Gold, Caroline",Excelsior Fellow (Education),STATE OPERATION3
"Hildreth, Kimberly",Executive Assistant,STATE OPERATION3
"Lannon, Venetia",Deputy Secretary for the Environment,STATE OPERATION3
"Shah, Rajiv",Assistant Secretary for the Environment,STATE OPERATION3
"Engwer, Jeanne",Executive Assistant,STATE OPERATION3
"Kauffmann, Richard",Chair of the Energy Sub-Cabinet,STATE OPERATION3
"Zurofsky, Adam",Deputy Secretary for Energy & Financial Services,STATE OPERATION3
