"DeRosa, Melissa",Secretary to the Governor
"",
"Cotton, Richard",Special Counselor for Interagency Initiatives
"O'Brien, Christopher","Director, Special Projects"
"Utter, Derek",Director of Finance and Restructuring
"",
"Tagliafierro, Letizia",Special Counsel for Public Safety
"",
"Cummings, Kelly",Deputy Chief of Staff/Senior Advisor to the Governor
"Bittleman, Sarah",Deputy Director of Special Projects
"",
"Capel, Rodney",Special Advisor to the Governor
"",
"Rodriguez, Rose",Chief Diversity Officer
"Amer, Dina",Excelsior Fellow
"",
"Sherwin, Katie",Director of Cabinet Affairs
"Boshek, Suzanne",Senior Executive Assistant
"Kenney, Daniel",Special Assistant to the Secretary
"Zurowski, Genevieve",Special Assistant
"Thorne, Emilie",Special Assistant
