"DesRosiers, Jill",Executive Deputy Secretary
"Rivera, Jennifer",Assitant Secretary for Executive Operations
"Lowy, Penny",Appointments Secretary
"Turley, David",Director of Constituency Affairs
"Gutierrez, Julissa",Deputy Director of Constituency Affairs
"Owens, Kelli",Director of Women's Affairs
"Milbrun, Nika",Dep Dir Constituencies-African American/Women
"McPherson, Rachel",Director of Special Projects
"Cannon, Steve",Director of Special Events
"Walsh, Annabel",Director of Scheduling
"Dame, Katie",Deputy Director of Scheduling
"Scalzo, Jill",Deputy Director of Scheduling
"Streb, Molly",Assistant Director of Scheduling
"Howard, John",Director of Operations
"Sims, Reid",Deputy Director of Operations
"Darley, Jennifer",Deputy Director of Operations
"Hechehouche, Amine",Special Assistant
"",Confidential Assistant to the Governor/Director of Public
"Staudt, Quinn",Engagement
"Gumb, Derek",Special Assistant for Events & Advance
"Ryan, Robyn",Special Assistant for Operations
"Lloyd, Tiffany",Executive Assistant
"Vicinanza, John",Special Assistant
