"Rabito, Joseph",Deputy Secretary for Intergovernmental Affairs
"Ball, Andrew",Assistant Secretary for Intergovernmental Affairs
"Paden, Sarah",Director of Downstate Affiairs and Organizing
"Kelly, Rochelle",Director of Downstate Intergovernmental Affairs
"Litke, Dawn",Executive Assistant
"Paul, Shirley",Special Assistant for Intergovernmental Affairs
"Hoare, Frank",Deputy Secretary for Legislative Affairs
"Rousseau, Joshua",Assistant Secretary for Legislative Affairs
"Barthel, Deirdre",Deputy Director of Legislative Affairs
"Layne, Christina",Special Assistant for Legislative Affairs
"Pennello, Matthew",Special Assistant for Legislative Affairs
